,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
73,0.0,441040,0.14029104645485907,102,468.0,489500.0,60.0,0.0
74,0.0,441050,0.14059502892531106,102,468.0,489500.0,60.0,0.0
75,0.0,441060,0.046206040785622654,102,468.0,489500.0,60.0,0.0
76,0.0,451030,24.48229745245538,102,468.0,489500.0,60.0,0.0
77,0.0,451050,1256.5281444833297,102,468.0,489500.0,60.0,0.0
78,0.0,461040,0.35121252119113744,102,468.0,489500.0,60.0,0.0
79,0.0,461050,2.8039992753415617,102,468.0,489500.0,60.0,0.0
80,0.0,461060,0.17103354541055882,102,468.0,489500.0,60.0,0.0
81,0.0,461070,1.7965828247481102,102,468.0,489500.0,60.0,0.0
82,0.0,461080,3.959160871744735,102,468.0,489500.0,60.0,0.0
83,0.0,461100,0.07037782437883751,102,468.0,489500.0,60.0,0.0
84,0.0,471070,4.006775725779333,102,468.0,489500.0,60.0,0.0
85,0.0,471090,25.252962217752483,102,468.0,489500.0,60.0,0.0
86,0.0,471110,1.6477514848803756,102,468.0,489500.0,60.0,0.0
87,0.0,473100,0.0,102,468.0,489500.0,60.0,0.0
88,0.0,481080,0.2791785989874584,102,468.0,489500.0,60.0,0.0
89,0.0,481100,1.3227221809186356,102,468.0,489500.0,60.0,0.0
90,0.0,481110,1.186364516365063,102,468.0,489500.0,60.0,0.0
91,0.0,481120,0.3580592439253733,102,468.0,489500.0,60.0,0.0
92,0.0,481130,2586.809820015132,102,468.0,489500.0,60.0,0.0
93,0.0,481140,0.23213808227678628,102,468.0,489500.0,60.0,0.0
94,0.0,481160,0.03903857399897874,102,468.0,489500.0,60.0,0.0
95,0.0,483150,0.0,102,468.0,489500.0,60.0,0.0
96,0.0,491130,5.497122878519921,102,468.0,489500.0,60.0,0.0
97,0.0,491150,58.616108713711036,102,468.0,489500.0,60.0,0.0
98,0.0,50100,0.036063607762818674,102,468.0,489500.0,60.0,0.0
99,0.0,50110,0.0004030818579359346,102,468.0,489500.0,60.0,0.0
100,0.0,501120,0.525465977339245,102,468.0,489500.0,60.0,0.0
101,0.0,501130,3.69279240332283,102,468.0,489500.0,60.0,0.0
102,0.0,501140,0.1540854427048435,102,468.0,489500.0,60.0,0.0
103,0.0,501150,4.104449176391467,102,468.0,489500.0,60.0,0.0
104,0.0,501160,0.2076576959261704,102,468.0,489500.0,60.0,0.0
105,0.0,501170,0.34874953494077937,102,468.0,489500.0,60.0,0.0
106,0.0,501180,0.08220302295966024,102,468.0,489500.0,60.0,0.0
107,0.0,501190,0.23905176180364415,102,468.0,489500.0,60.0,0.0
108,0.0,501200,0.031192382463602057,102,468.0,489500.0,60.0,0.0
109,0.0,501220,0.021737169225212658,102,468.0,489500.0,60.0,0.0
110,0.0,501230,1.2356930375624275,102,468.0,489500.0,60.0,0.0
111,0.0,501240,0.12895325667056903,102,468.0,489500.0,60.0,0.0
112,0.0,501250,0.15025824220853623,102,468.0,489500.0,60.0,0.0
113,0.0,501260,0.009353133428194238,102,468.0,489500.0,60.0,0.0
114,0.0,511210,2.9671900776530955,102,468.0,489500.0,60.0,0.0
115,0.0,511230,1.8863857813258942,102,468.0,489500.0,60.0,0.0
116,0.0,511240,3.3019806237156413,102,468.0,489500.0,60.0,0.0
117,0.0,511250,1.284132148007921,102,468.0,489500.0,60.0,0.0
118,0.0,511260,3.5604873337650855,102,468.0,489500.0,60.0,0.0
119,0.0,521220,1.4036061814915373,102,468.0,489500.0,60.0,0.0
120,0.0,521230,106.4530919071401,102,468.0,489500.0,60.0,0.0
121,0.0,521240,0.5074829194948501,102,468.0,489500.0,60.0,0.0
122,0.0,521250,0.433824160082448,102,468.0,489500.0,60.0,0.0
123,0.0,521260,0.14959930453464187,102,468.0,489500.0,60.0,0.0
124,0.0,521280,0.038078863169267556,102,468.0,489500.0,60.0,0.0
125,0.0,521300,0.01794542497415715,102,468.0,489500.0,60.0,0.0
126,0.0,521320,0.012238101336355597,102,468.0,489500.0,60.0,0.0
127,0.0,523270,0.0,102,468.0,489500.0,60.0,0.0
128,0.0,523290,0.0,102,468.0,489500.0,60.0,0.0
129,0.0,531270,2.6905252576812426,102,468.0,489500.0,60.0,0.0
130,0.0,531290,2.435536293574782,102,468.0,489500.0,60.0,0.0
131,0.0,531300,2.4098163557844394,102,468.0,489500.0,60.0,0.0
132,0.0,531310,6.451591475906991,102,468.0,489500.0,60.0,0.0
133,0.0,531350,5.751002175500978,102,468.0,489500.0,60.0,0.0
134,0.0,541260,1.2339008718070068,102,468.0,489500.0,60.0,0.0
135,0.0,541280,0.547695953320962,102,468.0,489500.0,60.0,0.0
136,0.0,541290,4.964920170625086,102,468.0,489500.0,60.0,0.0
137,0.0,541300,0.4007725316964119,102,468.0,489500.0,60.0,0.0
138,0.0,541310,18.016538249286988,102,468.0,489500.0,60.0,0.0
139,0.0,541320,0.11570274140336019,102,468.0,489500.0,60.0,0.0
140,0.0,541330,13.794559872280274,102,468.0,489500.0,60.0,0.0
141,0.0,541340,0.02669450750625833,102,468.0,489500.0,60.0,0.0
142,0.0,541350,208453.8782723743,102,468.0,489500.0,60.0,0.0
143,0.0,541360,0.019310938251155145,102,468.0,489500.0,60.0,0.0
144,0.0,551330,7.397135667181448,102,468.0,489500.0,60.0,0.0
145,0.0,551340,10.726497297086919,102,468.0,489500.0,60.0,0.0
146,0.0,551350,1.311920669828005,102,468.0,489500.0,60.0,0.0
147,0.0,551360,1.6327594198124369,102,468.0,489500.0,60.0,0.0
148,0.0,551370,0.023315426631213183,102,468.0,489500.0,60.0,0.0
149,0.0,561320,1.2764562767613614,102,468.0,489500.0,60.0,0.0
150,0.0,561330,1.784572783492957,102,468.0,489500.0,60.0,0.0
151,0.0,561340,0.4882167457063505,102,468.0,489500.0,60.0,0.0
152,0.0,561350,1.9014590424445468,102,468.0,489500.0,60.0,0.0
153,0.0,561360,0.08219966079857521,102,468.0,489500.0,60.0,0.0
154,0.0,561370,0.2930482973328933,102,468.0,489500.0,60.0,0.0
155,0.0,561380,0.03128300252730624,102,468.0,489500.0,60.0,0.0
156,0.0,561400,0.31870234879752907,102,468.0,489500.0,60.0,0.0
157,0.0,571380,8.615016421730413,102,468.0,489500.0,60.0,0.0
158,0.0,571390,0.7611893642970122,102,468.0,489500.0,60.0,0.0
159,0.0,571400,1.1639204818290512,102,468.0,489500.0,60.0,0.0
160,0.0,581380,0.23728197757587835,102,468.0,489500.0,60.0,0.0
161,0.0,581390,34.21352628622669,102,468.0,489500.0,60.0,0.0
162,0.0,581400,0.043777735404393905,102,468.0,489500.0,60.0,0.0
163,0.0,581410,4.085848959186977,102,468.0,489500.0,60.0,0.0
164,0.0,581420,0.0782705359962886,102,468.0,489500.0,60.0,0.0
165,0.0,581430,0.9224301820831206,102,468.0,489500.0,60.0,0.0
166,0.0,581440,0.10642596109249872,102,468.0,489500.0,60.0,0.0
167,0.0,591410,1.031332234005455,102,468.0,489500.0,60.0,0.0
168,0.0,591420,2.516456231551941,102,468.0,489500.0,60.0,0.0
169,0.0,591430,7.802194151731783,102,468.0,489500.0,60.0,0.0
170,0.0,60120,0.0,102,468.0,489500.0,60.0,0.0
171,0.0,601420,1.3197491830234267,102,468.0,489500.0,60.0,0.0
172,0.0,601430,23.070512591072696,102,468.0,489500.0,60.0,0.0
173,0.0,601440,0.30940193203018945,102,468.0,489500.0,60.0,0.0
174,0.0,601450,6.653087225225113,102,468.0,489500.0,60.0,0.0
175,0.0,601460,0.1504355692712939,102,468.0,489500.0,60.0,0.0
176,0.0,601470,35.820707614922846,102,468.0,489500.0,60.0,0.0
177,0.0,601480,0.4231782296090568,102,468.0,489500.0,60.0,0.0
178,0.0,601500,0.3120690451658302,102,468.0,489500.0,60.0,0.0
179,0.0,611470,38.76823227989987,102,468.0,489500.0,60.0,0.0
180,0.0,611480,172.5667708081651,102,468.0,489500.0,60.0,0.0
181,0.0,611490,114.90402699488125,102,468.0,489500.0,60.0,0.0
182,0.0,611510,50.3397827263896,102,468.0,489500.0,60.0,0.0
183,0.0,613480,0.0,102,468.0,489500.0,60.0,0.0
184,0.0,621470,14.42933951776618,102,468.0,489500.0,60.0,0.0
185,0.0,621480,0.7301317316204401,102,468.0,489500.0,60.0,0.0
186,0.0,621490,5404.50409085163,102,468.0,489500.0,60.0,0.0
187,0.0,621500,9.790407118304211,102,468.0,489500.0,60.0,0.0
188,0.0,621510,816.8244033788749,102,468.0,489500.0,60.0,0.0
189,0.0,621520,53.86702229397332,102,468.0,489500.0,60.0,0.0
190,0.0,621530,94.65439487564296,102,468.0,489500.0,60.0,0.0
191,0.0,621540,1.0970124827195398,102,468.0,489500.0,60.0,0.0
192,0.0,631510,629.7621027549102,102,468.0,489500.0,60.0,0.0
193,0.0,631520,686.2251355846712,102,468.0,489500.0,60.0,0.0
194,0.0,631530,39.18117997832937,102,468.0,489500.0,60.0,0.0
195,0.0,631540,163.4929445125976,102,468.0,489500.0,60.0,0.0
196,0.0,631550,509.7076606055322,102,468.0,489500.0,60.0,0.0
