,N0 [atoms/b-cm],ZAID,XS [barns],MT,T chamber [Kelvin],P chamber [Pa],Theta,Xe Conc [atoms/b-cm]
69,0.0,441000,0.5467292827531859,102,2700.0,6890000.0,60.0,0.0
70,0.0,441010,1.8753993776971374,102,2700.0,6890000.0,60.0,0.0
71,0.0,441020,0.17371092300196542,102,2700.0,6890000.0,60.0,0.0
72,0.0,441030,0.71962559444257,102,2700.0,6890000.0,60.0,0.0
73,0.0,441040,0.13554265669881013,102,2700.0,6890000.0,60.0,0.0
74,0.0,441050,0.1368137148104542,102,2700.0,6890000.0,60.0,0.0
75,0.0,441060,0.04513106259717952,102,2700.0,6890000.0,60.0,0.0
76,0.0,451030,24.604504377237046,102,2700.0,6890000.0,60.0,0.0
77,0.0,451050,1225.638702077961,102,2700.0,6890000.0,60.0,0.0
78,0.0,461040,0.3479047576239474,102,2700.0,6890000.0,60.0,0.0
79,0.0,461050,2.7328382708592382,102,2700.0,6890000.0,60.0,0.0
80,0.0,461060,0.16635450668595117,102,2700.0,6890000.0,60.0,0.0
81,0.0,461070,1.7571654745994256,102,2700.0,6890000.0,60.0,0.0
82,0.0,461080,3.792535192754625,102,2700.0,6890000.0,60.0,0.0
83,0.0,461100,0.06865238094585316,102,2700.0,6890000.0,60.0,0.0
84,0.0,471070,3.9034853308763675,102,2700.0,6890000.0,60.0,0.0
85,0.0,471090,24.548665097244406,102,2700.0,6890000.0,60.0,0.0
86,0.0,471110,1.590100355223451,102,2700.0,6890000.0,60.0,0.0
87,0.0,473100,0.0,102,2700.0,6890000.0,60.0,0.0
88,0.0,481080,0.2726010595098495,102,2700.0,6890000.0,60.0,0.0
89,0.0,481100,1.2853045773956007,102,2700.0,6890000.0,60.0,0.0
90,0.0,481110,1.1573249088783448,102,2700.0,6890000.0,60.0,0.0
91,0.0,481120,0.33081235563163447,102,2700.0,6890000.0,60.0,0.0
92,0.0,481130,3080.1495202832507,102,2700.0,6890000.0,60.0,0.0
93,0.0,481140,0.22650126057678927,102,2700.0,6890000.0,60.0,0.0
94,0.0,481160,0.03803191976504675,102,2700.0,6890000.0,60.0,0.0
95,0.0,483150,0.0,102,2700.0,6890000.0,60.0,0.0
96,0.0,491130,5.361876368181507,102,2700.0,6890000.0,60.0,0.0
97,0.0,491150,58.20268816385854,102,2700.0,6890000.0,60.0,0.0
98,0.0,50100,0.03533464988995562,102,2700.0,6890000.0,60.0,0.0
99,0.0,50110,0.00039510113699015405,102,2700.0,6890000.0,60.0,0.0
100,0.0,501120,0.5087202504830958,102,2700.0,6890000.0,60.0,0.0
101,0.0,501130,3.5850230835549244,102,2700.0,6890000.0,60.0,0.0
102,0.0,501140,0.14976519938937638,102,2700.0,6890000.0,60.0,0.0
103,0.0,501150,4.008528013066591,102,2700.0,6890000.0,60.0,0.0
104,0.0,501160,0.20058107332863018,102,2700.0,6890000.0,60.0,0.0
105,0.0,501170,0.3378418467754684,102,2700.0,6890000.0,60.0,0.0
106,0.0,501180,0.08094713333632196,102,2700.0,6890000.0,60.0,0.0
107,0.0,501190,0.23281561692333463,102,2700.0,6890000.0,60.0,0.0
108,0.0,501200,0.030665025094082754,102,2700.0,6890000.0,60.0,0.0
